OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
5887,14-175176,20140804,PINNACLE DR @ OLD MILL RD,02-Intersection related,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
5888,14-185465,20140816,HIGHLAND RD E @ SPADINA RD E,02-Intersection related,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
5889,14-149625,20140703,BLOCK LINE RD @ STRASBURG RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5890,14-139078,20140621,GOLDEN MEADOW DR @ HIGHVIEW DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5891,14-112193,20140522,BLOCK LINE RD @ KINGSWOOD DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5892,14-186082,20140817,BLOCK LINE RD @ KINGSWOOD DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5893,14-123569,20140603,GLASGOW ST @ KNELL DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5894,14-153903,20140709,CHARLES ST E @ SYDNEY ST S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5895,14-178442,20140808,CHARLES ST E @ PRESTON ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5896,14-150131,20140704,KING ST E @ CAMERON ST S / CAMERON ST N,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5897,14-177514,20140805,MARL MEADOW DR @ TEMPLEWOOD DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5898,14-143033,20140626,UNION BLVD @ BELMONT AVE W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5899,14-140876,20140620,LANCASTER ST E @ KRUG ST / CEDAR ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5900,14-199698,20140903,RIVER RD E @ LORRAINE AVE,02-Intersection related,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
5901,14-157490,20140712,RITTENHOUSE RD @ TUERR DR,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5902,14-012605,20140117,ACTIVA AVE @ MAX BECKER DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5903,14-026923,20140130,KING ST W @ FRANCIS ST S / FRANCIS ST N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5904,14-026122,20140203,BELMONT AVE W @ METZLOFF DR,03-At intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
5905,13-271630,20131113,SHANLEY ST @ WATERLOO ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5906,13-296474,20131226,STIRLING AVE S @ KING ST E / STIRLING AVE N,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
5907,13-299938,20131231,VICTORIA ST N @ LACKNER BLVD / BINGEMANS CENTRE DR,02-Intersection related,02-Thru lane,03-Snow,05-Dusk,INTERSECTION,
5908,13-288315,20131214,KINGSWAY DR @ GREENFIELD AVE,02-Intersection related,03-Left turn lane,03-Snow,01-Daylight,INTERSECTION,
5909,13-293549,20131222,BLACKWELL DR @ WESTHEIGHTS DR,03-At intersection,02-Thru lane,04-Freezing Rain,"08-Dark, artificial",INTERSECTION,
5910,14-004152,20140106,HOMER WATSON BLVD @ STIRLING AVE S,03-At intersection,11-Not on roadway - right side,05-Drifting Snow,"08-Dark, artificial",INTERSECTION,
5911,14-018924,20140125,WINDFLOWER DR @ WINDFLOWER CRES,02-Intersection related,02-Thru lane,05-Drifting Snow,01-Daylight,INTERSECTION,
5912,14-007629,20140111,BECKER ST @ KRUG ST,02-Intersection related,09-Right shoulder,"07-Fog, mist, smoke, dust",07-Dark,INTERSECTION,
5913,13-296412,20131226,HOMER WATSON BLVD @ STIRLING AVE S,03-At intersection,11-Not on roadway - right side,03-Snow,"08-Dark, artificial",INTERSECTION,
5914,14-006815,20140110,MAX BECKER DR @ COPPER LEAF CRES,02-Intersection related,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
5915,14-028646,20140205,BENT WILLOW DR @ HIGHVIEW DR / OLD PARK LANE,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5916,13-263073,20131111,BLOCK LINE RD @ KINGSWOOD DR,02-Intersection related,02-Thru lane,03-Snow,07-Dark,INTERSECTION,
5917,13-291005,20131218,LORNE AVE @ GOTTSCHEER CRT,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5918,14-028488,20140206,AHRENS ST W @ WELLINGTON ST N,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
5919,13-289412,20131210,UPPER CANADA DR @ DOON VILLAGE RD,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5920,14-002957,20140105,COUNTRY HILL DR @ BLOCK LINE RD,02-Intersection related,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
5921,14-016852,20140122,COUNTRY HILL DR @ BLOCK LINE RD,02-Intersection related,02-Thru lane,03-Snow,07-Dark,INTERSECTION,
5922,14-024443,20140201,MAUSSER AVE @ LORNE AVE,03-At intersection,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
5923,14-030682,20140209,HARTWOOD AVE @ MARGARET AVE,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
5924,14-007930,20140111,MCGARRY DR @ FORESTWOOD DR,02-Intersection related,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
5925,14-001052,20140102,STANLEY AVE @ SCHWEITZER ST,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
5926,14-24839,20140202,SIEBERT AVE @ WOODHAVEN RD,02-Intersection related,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
5927,14-000942,20140102,GAUKEL ST @ HALLS LANE W,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5928,14-004572,20140107,THE COUNTRY WAY @ OLD COUNTRY DR,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5929,13-291114,20131217,BLACKWELL DR @ HIGH ACRES CRES,03-At intersection,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
5930,13-290121,20131217,SCOTT ST @ SPETZ ST,03-At intersection,10-Not on roadway - left side,03-Snow,01-Daylight,INTERSECTION,
5931,14-005535,20140108,MT HOPE ST @ PARK ST,03-At intersection,01-Within intersection,03-Snow,05-Dusk,INTERSECTION,
5932,14-019840,20140126,UNION BLVD @ BELMONT AVE W,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
5933,13-290363,20131217,MILL ST @ HEIMAN ST,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
5934,15-134885,20150625,KING ST W @ ONTARIO ST S / ONTARIO ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5935,15-176181,20150818,YOUNG ST @ DUKE ST W,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
5936,15-143169,20150706,ONTARIO ST N @ DUKE ST W,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5937,15-170768,20150811,DRIFTWOOD DR @ HIGHVIEW DR,02-Intersection related,11-Not on roadway - right side,01-Clear,07-Dark,INTERSECTION,
5938,15-193560,20150909,KING ST W @ YOUNG ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5939,15-189120,20150904,WILSON AVE @ WEBSTER RD,03-At intersection,01-Within intersection,01-Clear,05-Dusk,INTERSECTION,
5940,15-113191,20150529,WILSON AVE @ FAIRWAY RD S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5941,15-170649,20150811,QUEEN ST S @ JOSEPH ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5942,15-129392,20150618,KING ST E @ CAMERON ST S / CAMERON ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5943,15-162696,20150731,COUNTRY HILL DR @ BLOCK LINE RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5944,15-177141,20150820,AHRENS ST W @ BREITHAUPT ST,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
5945,15-178778,20150822,WESTHEIGHTS DR @ ROLLING MEADOWS DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5946,15-171232,20150812,WABANAKI DR @ WILSON AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5947,15-189234,20150904,WABANAKI DR @ GOODRICH DR / HIDDEN VALLEY RD,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
5948,15-119001,20150605,QUEEN ST N @ WEBER ST W / WEBER ST E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5949,15-161899,20150730,ONTARIO ST S @ JOSEPH ST,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
5950,15-032625,20150213,HOMER WATSON BLVD @ HOMER WATSON BLVD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5951,15-145302,20150709,WELLINGTON ST N @ SHIRLEY AVE / RIVERBEND DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5952,15-150716,20150716,WELLINGTON ST N @ SHIRLEY AVE / RIVERBEND DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5953,15-153913,20150720,YORK ST @ UNION BLVD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5954,17-291658,20171225,GLASGOW ST @ DUNBAR RD,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
5955,17-283573,20171215,LOUISA ST @ MOORE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5956,18-017965,20180123,GOODRICH DR @ WILSON AVE,02-Intersection related,04-Right turn lane,02-Rain,01-Daylight,INTERSECTION,
5957,18-009953,20180112,FRANKLIN ST S @ GREENFIELD AVE,03-At intersection,01-Within intersection,06-Strong wind,07-Dark,INTERSECTION,
5958,18-002736,20180104,AHRENS ST W @ GUELPH ST,02-Intersection related,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
5959,17-268439,20171126,BELMONT AVE W @ CLAREMONT AVE,03-At intersection,01-Within intersection,01-Clear,05-Dusk,INTERSECTION,
5960,17-288854,20171222,BELMONT AVE W @ GAGE AVE,03-At intersection,01-Within intersection,01-Clear,03-Dawn,INTERSECTION,
5961,17-256900,20171112,BELMONT AVE W @ KARN ST,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
5962,17-293620,20171228,BELMONT AVE W @ KARN ST,02-Intersection related,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
5963,17-295100,20171231,HOMER WATSON BLVD @ HOFFMAN ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5964,16-047894,20160305,ONTARIO ST S @ JOSEPH ST,02-Intersection related,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
5965,16-003180,20160105,MADISON AVE N @ KING ST E / MADISON AVE S,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
5966,16-057273,20160317,WOODHAVEN RD @ WILSON AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5967,16-046018,20160303,STRANGE ST @ DOMINION ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5968,15-272011,20151221,RIVER RD E @ OLD CHICOPEE DR,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
5969,16-041861,20160226,BORDEN AVE N @ KING ST E / BORDEN AVE S,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5970,16-014583,20160121,BORDEN AVE N @ KING ST E / BORDEN AVE S,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
5971,16-032272,20160213,RIVER RD E @ LORRAINE AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5972,16-055642,20160315,CHURCH ST @ BENTON ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5973,16-044729,20160301,SPADINA RD E @ QUEENS BLVD / SPADINA RD W,03-At intersection,01-Within intersection,05-Drifting Snow,01-Daylight,INTERSECTION,
5974,15-272356,20151221,TRILLIUM DR @ STRASBURG RD,03-At intersection,01-Within intersection,02-Rain,07-Dark,INTERSECTION,
5975,15-270999,20151219,CONNAUGHT ST @ THIRD AVE,02-Intersection related,11-Not on roadway - right side,03-Snow,"08-Dark, artificial",INTERSECTION,
5976,15-191447,20150907,WARWICK CRT @ ERINBROOK DR,02-Intersection related,02-Thru lane,02-Rain,"08-Dark, artificial",INTERSECTION,
5977,16-047257,20160304,SCOTT ST @ WEBER ST E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5978,15-269377,20151217,KING ST E @ MORGAN AVE,02-Intersection related,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
5979,16-043767,20160229,CEDAR ST N @ KING ST E / CEDAR ST S,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
5980,16-030613,20160211,QUEENSTON DR @ INDIAN RD,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
5981,16-055023,20160225,SEREDA RD @ SPRING VALLEY RD / GUELPH ST,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
5982,16-041972,20160226,CHARLES ST E @ PRESTON ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5983,16-047068,20160304,STRASBURG RD @ MCINTYRE DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5984,16-029101,20160209,HARTWOOD AVE @ ELLIS AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5985,16-061035,20160322,UNION BLVD @ PARK ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5986,16-045179,20160301,KING ST E @ FREDERICK ST / BENTON ST,02-Intersection related,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
5987,15-236089,20151103,KING ST E @ QUEEN ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
5988,16-030555,20160211,RIVER RD E @ FREDERICK ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5989,16-002221,20160104,FREDERICK ST @ AVON RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5990,16-026361,20160205,RIVER RD E @ KRUG ST,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
5991,16-059084,20160319,RUSSEL ST @ SPADINA RD E,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
5992,16-025608,20160204,ARNOLD ST @ CLIFTON RD,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
5993,16-007224,20160110,FISCHER HALLMAN RD @ WESTMOUNT RD E / MAX BECKER DR,03-At intersection,09-Right shoulder,03-Snow,05-Dusk,INTERSECTION,
5994,16-007122,20160110,FISCHER HALLMAN RD @ WESTMOUNT RD E / MAX BECKER DR,03-At intersection,01-Within intersection,03-Snow,05-Dusk,INTERSECTION,
5995,16-007193,20160110,FISCHER HALLMAN RD @ WESTMOUNT RD E / MAX BECKER DR,03-At intersection,01-Within intersection,03-Snow,05-Dusk,INTERSECTION,
5996,16-045231,20160302,DAVID ST @ JOSEPH ST,02-Intersection related,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
5997,15-144956,20150708,MILL ST @ OTTAWA ST S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
5998,16-033951,20160216,HOMER WATSON BLVD @ STIRLING AVE S,02-Intersection related,11-Not on roadway - right side,"07-Fog, mist, smoke, dust","08-Dark, artificial",INTERSECTION,
5999,16-030902,20160211,DOMINION ST @ PARK ST,02-Intersection related,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
6000,16-002427,20160104,MAUSSER AVE @ STIRLING AVE S,02-Intersection related,12-Off highway,01-Clear,"08-Dark, artificial",INTERSECTION,
6001,15-071750,20150407,GLASGOW ST @ PARK ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
6002,15-151172,20150716,MILL ST @ OTTAWA ST S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
6003,16-014995,20151129,BRADLEY DR @ BRADLEY PL,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
6004,16-034906,20160210,BONIFACE AVE @ MASSEY AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
6005,16-022729,20160201,BELMONT AVE W @ VICTORIA ST S,02-Intersection related,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
6006,15-246504,20151116,WABANAKI DR @ WILSON AVE,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
6007,15-244333,20151113,WABANAKI DR @ WILSON AVE,03-At intersection,01-Within intersection,02-Rain,"08-Dark, artificial",INTERSECTION,
6008,14-177230,20140806,SHERWOOD AVE @ SUFFOLK AVE,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
6009,14-159394,20140715,LANCASTER ST E @ IRVIN ST / BRUBACHER ST,03-At intersection,11-Not on roadway - right side,02-Rain,01-Daylight,INTERSECTION,
6010,14-183381,20140813,GRAVEL RIDGE TRAIL @ MELINDA ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
6011,14-110978,20140521,DOMINION ST @ PARK ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
6012,14-172361,20140731,YORK ST @ MT HOPE ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
6013,14-136554,20140618,BRENTWOOD AVE @ JACKSON AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
6014,14-115753,20140516,PARK ST @ AGNES ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
6015,14-192410,20140824,RESURRECTION DR @ NORTHMANOR CRES,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
6016,14-132295,20140613,AMHERST DR @ DURHAM ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
6017,14-146268,20140629,WESTWOOD DR @ KNELL DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
6018,13-152636,20140707,STANLEY AVE @ SCHWEITZER ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
6019,14-123291,20140603,WILSON AVE @ KINGSWAY DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
6020,14-195353,20140829,STAUFFER DR @ CARYNDALE DR,02-Intersection related,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
6021,14-152619,20140617,STIRLING AVE S @ KING ST E / STIRLING AVE N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
6022,14-200020,20140903,SHIRLEY DR @ BINGEMANS CENTRE DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
6023,14-199838,20140903,WESTHEIGHTS DR @ AUTUMN HILL CRES,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
6024,14-098089,20140506,RIVER RD E @ HICKSON DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
6025,14-192623,20140825,PIONEER DR @ DOON VILLAGE RD,03-At intersection,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
6026,14-125948,20140606,WILSON AVE @ WEBSTER RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
6027,14-190032,20140822,KING ST W @ GAUKEL ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
6028,14-103948,20140512,BLOCK LINE RD @ STRASBURG RD,03-At intersection,01-Within intersection,01-Clear,"06-Dusk, artificial",INTERSECTION,
6029,14-166292,20140724,CONNAUGHT ST @ FOURTH AVE,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
6030,14-182882,20140813,WILSON AVE @ TRAYNOR AVE,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
6031,14-259898,20141114,OLD COUNTRY DR @ STRASBURG RD,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
6032,14-260270,20141114,QUEENS BLVD @ WESTHEIGHTS DR,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
6033,14-173902,20140802,HUBER ST @ JANSEN AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
6034,14-262795,20141117,ZELLER CRES @ ZELLER DR,02-Intersection related,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
6035,14-260057,20141114,ST LEGER ST @ BLUCHER ST / BLUCHER BLVD,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
6036,14-260069,20141114,GREENBROOK DR @ LAKESIDE DR,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
6037,14-262535,20141117,QUEEN ST N @ LANCASTER ST W / LANCASTER ST E,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
6038,14-208650,20140912,QUEEN ST N @ LANCASTER ST W / LANCASTER ST E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
6039,14-263329,20141118,CHARLES ST E @ PRESTON ST,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
6040,14-195468,20140829,KING ST E @ QUEEN ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
